评论数,阅读数,时间,标题,内容
96,45790,2017-12-15,看看本人自制的大趋势风险图，已经成功试验很多,"
                            
                            包括2015年2月 2015年6月大顶 2016.1月的熔断大跌 今年6月 这回的12月同样不会例外当然不包括平安和中兴之类的 
"
38,11458,2017-11-01,股指期货完全操控了沪深大盘指数,"
                            
                            还怎么炒股 
                        "
4,22576,2017-04-28,骗子公司“四川大决策”法人：仲岗平,"
                            
                            四川大决策证券投资顾问有限公司(法人代表：仲岗平，证书编号：000000000098）就是大骗子公司，希望证监会为散户主持公道，严查此公司。他们用各种手段诱骗散户，本人是个小户亲自体验，未交费合作前，推荐给你的股票天天涨个不停，但给钱后就完全不一样了，公司收取推荐股票信息服务费2980-15000元/月不等的所谓服务费，收钱后就投资顾问就随便推一些跌或就是不会涨的股票给你，还要告诉你慢慢来过几天就大涨了，但接下来一直跌跌不休，让你亏得血本无规。打电话到公司投诉电话020-22209528，接电话人员就说会处理，之后就不了了之了，反正就没有一股票能赚钱。 这只是他们漫长骗局的第一步。一步一步掉入他们设的陷阱。希望领导层给受害人主持公道。还这个市场一片蓝天！ 
                        "
15,4601,2017-12-15,主力资金疯狂涌入这些股,"
                            
                            主力资金疯狂涌入这些股 
                        "
15,10511,2017-12-09,股民3000本金赚到200万,"
                            
                            股民3000本金赚到200万 
                        "
15,6166,2017-12-07,请问什么叫系统性风险？,"
                            
                            请问什么叫系统性风险？ 
                        "
35,22369,2017-09-09,亩产拾万斤是蛊民贱二,"
                            
                            亩产拾万斤是蛊民贱二 
                        "
1,689,2017-12-21,节前变盘，看来真的牛了,"
                            
                            节前变盘，看来真的牛了 
                        "
55,17346,2017-08-19,国务院：限制房地产等境外投资,"
                            
                            国务院：限制房地产等境外投资 
                        "
55,16623,2017-08-20,“大非”是指持股量5%以上非流通股东所持股份,"
                            
                            中国证监会2005年9月4日颁布的“上市公司股权分置改革管理办法”规定，改革后公司原非流通股股份的出售，自改革方案实施之日起，在十二个月内不得上市交易或者转让；持有上市公司股份总数百分之五以上的原非流通股股东，在前项规定期满后，通过证券交易所挂牌交易出售原非流通股股份，出售数量占该公司股份总数的比例在十二个月内不得超过百分之五，在二十四个月内不得超过百分之十。这意味着持股在5%以下的非流通股份在股改方案实施后12个月即可上市流通，因此，“小非”是指持股量在5%以下的非流通股东所持股份，这就是“小非”的由来。与“小非”相对应，“大非”则是指持股量5%以上非流通股东所持股份。 
                        "
55,20034,2017-08-18,B浪反弹基本完成，警C浪冲击波,"
                            
                            B浪反弹基本完成，警C浪冲击波 
                        "
51,20262,2017-08-19,囤房狂欢必将散场 曲终人散,"
                            
                            囤房狂欢必将散场 曲终人散 
                        "
17,4391,2017-11-20,市场A股11月27日内：断崖？！,"
                            
                            市场诱多忽悠==11月pk==2009年头部失败==3478--3469--3464--3454点：遇阻失败；警惕11月20--11.21---+11.27窗口：A股大断崖：向2018年2月2日寻底：大盘多空战略==pk：可能是==2018.2.2至2018.6月14日内：有精彩：绝地反击：一轮升势：试目似待==pk 
                        "
1,716,2017-12-08,同志们，晚上要发了,"
                            
                            同志们，晚上要发了 
                        "
18,5791,2017-12-29,一年一年又一年，每到年关泪连连， 炒股亏的剩,"
                            
                            一年一年又一年，每到年关泪连连，炒股亏的剩裤衩，只有关灯来吃面。 诗人 白交易 
                        "
1,2150,2017-12-02,钱荒，中国的很多上市公司已经失去了造血功能，,"
                            
                            钱荒，中国的很多上市公司已经失去了造血功能，国家这次是下定决心要打假，优胜劣汰很快就会体现出来，长痛不如短痛，对国家来说是好的，但现在对于广大股民来说是一场灾难，灾难。 
                        "
7,1690,2017-12-26,新三板的改革将对次新股投机予以重创！,"
                            
                            灰犀牛，新股再不稀奇。 
                        "
25,9072,2017-12-22,下周主板、中小创题材股将迎来大跌！！,"
                            
                            重磅！新三板发布分层、信披、交易制度改革措施 引入集合竞价 
                        "
17,7812,2017-12-26,李大霄警告：中石油需等100年 买次新股需要200,"
                            
                            李大霄警告：现在追高买次新，相当于100元买中石油。很多人现在仍然受到48.6中石油的伤害，只不过现在的次新股，比48.6元的中石油还要高一倍！要警惕呀，48.6元的中石油需要100年的等待，而现在买次新股需要200年的守候。 
                        "
5,1374,2017-12-26,我发誓：我的自选股不大涨？银行股收盘全跌停！,"
                            
                            我发誓：我的自选股不大涨？银行股收盘全跌停！ 
                        "
25,6829,2017-12-26,切记！明天任何股票只抛不买（这个位置是头部不,"
                            
                            李大霄警告：中石油需等100年 买次新股需要200年守候 
                        "
8,2092,2017-03-03,也说“定向增发的价格”,"
                            
                            也说“定向增发的价格”　　根据《上市公司证券发行管理办法》，上市公司进行定向增发，“发行价格不低于定价基准日前20个交易日公司股票均价的百分之90”。《上市公司非公开发行股票实施细则》进一步规定，上述“基准日”可以是董事会决议公告日、股东大会决议公告日、发行期首日。　　必须注意的是，“定价基准日前20个交易日股票交易均价”的计算公式为：定价基准日前20个交易日股票交易均价=定价基准日前20个交易日股票交易总额/定价基准日前20个交易日股票交易总量，并不是把每天的收盘价加起来除以20。　　如果是公开增发，价格如果折让较多，就会引起市场追逐，对二级市场的股价反而有提升作用。如果是定向增发，折让就不能太高，否则就会打压二级市场的股价。　　定向增发的价格，也不是以每股净资产值的高低确定。　　种如是因，收如是果。或者可以说，赣粤高速股价低迷并非空穴来风。　　2017年，是国企混改极其重要的一年。江西明确将进一步推进国企改革列为2017年重点工作，国企混改成改革突破口，制定了改革路线图和时间表。　　江西省交通工程集团公司整体划入江西省高速公路投资集团有限责任公司，江西高速集团--号称江西“航母”的升级版。　　马凯：深化改革做强做优做大国有企业，打造国有企业改革“江西样板”。　　从“积极发展”到“有序实施”，再至“混改是突破口”，决策层解决国企改革核心问题的决心坚定。　　赣粤高速也很有可能比照江西长运和洪城水业，向大股东定向发行股份，购买优质资产，停牌重组。这是国企改革多赢的方式方法。 
                        "
