标题,链接,房屋总价,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,房屋类型,交易权属,参考首付,税费总计,是否唯一,税费描述
擎天半岛，紧缺小三房，无税，诚心出售，看房方便， ,http://hz.58.com/ershoufang/33375280345513x.shtml,164                                万（单价18426                                元/㎡）,3室2厅1卫,89㎡,南北,低层/共33层,中等装修,70年,2008年,普通住宅,其他,49.2                                万（月供4707元/月）,,,
协办小区 两房朝南 老小区楼梯房。临平市中心房 ,http://hz.58.com/ershoufang/31041042726221x.shtml,100                                万（单价11235                                元/㎡）,2室2厅1卫,89㎡,南北,高层/共6层,中等装修,70年,2000年,普通住宅,商品房,30                                万（月供2871元/月）,,,
笕桥花苑 精致户型 中装送设施 花不多的钱 购温 ,http://hz.58.com/ershoufang/33506213711529x.shtml,235                                万（单价24479                                元/㎡）,2室2厅1卫,96㎡,南,低层/共7层,中等装修,70年,2008年,普通住宅,其他,70.5                                万（月供6745元/月）,,,
市中心位置，地段好，70年产证，民用水，电 ,http://hz.58.com/ershoufang/30312200360242x.shtml,30                                万（单价5882                                元/㎡）,2室1厅1卫,51㎡,南北,中层/共17层,中等装修,70年,2006年,普通住宅,商品房,9                                万（月供860元/月）,,,
有高架层含！周边配套齐全 ,http://hz.58.com/ershoufang/30863787522358x.shtml,133                                万（单价10230                                元/㎡）,3室2厅2卫,130㎡,西南,低层/共6层,中等装修,70年,2017年,普通住宅,商品房,39.9                                万（月供3816元/月）,,,
灯塔豪园 本小区中间位置 楼层好 南北通透 装修 ,http://hz.58.com/ershoufang/33310974793780x.shtml,338                                万（单价38850                                元/㎡）,2室2厅1卫,87㎡,南,中层/共11层,中等装修,70年,2012年,普通住宅,商品房,101.4                                万（月供9701元/月）,,,
10年小区+刚需+婚房装修+保养全新+楼层好+满 ,http://hz.58.com/ershoufang/33400341105982x.shtml,210                                万（单价33333                                元/㎡）,1室1厅1卫,63㎡,南北,中层/共21层,中等装修,70年,2010年,普通住宅,商品房,63                                万（月供6026元/月）,,,
育才东苑 低总价學区房 市场难得一求 看过几次的 ,http://hz.58.com/ershoufang/33277560283578x.shtml,160                                万（单价26666                                元/㎡）,2室1厅1卫,60㎡,南北,高层/共6层,中等装修,70年,1995年,普通住宅,商品房,48                                万（月供4593元/月）,,,
龙湖滟澜山全新中装 性价比高 家具家电全送 业主 ,http://hz.58.com/ershoufang/31770470194093x.shtml,210                                万（单价23595                                元/㎡）,2室2厅1卫,89㎡,南,中层/共32层,中等装修,70年,2013年,普通住宅,商品房,63                                万（月供6026元/月）,,,
"三房朝南一房朝北,全明户型,南北通透,有面积 近 ",http://hz.58.com/ershoufang/31864652606656x.shtml,345                                万（单价36315                                元/㎡）,3室2厅1卫,95㎡,南北,高层/共6层,中等装修,70年,1992年,普通住宅,商品房,103.5                                万（月供9900元/月）,,,
西溪海小海 难得的边套好户型急售 未来科技城 地 ,http://hz.58.com/ershoufang/33407339576115x.shtml,210                                万（单价23333                                元/㎡）,3室2厅2卫,90㎡,南北,中层/共18层,中等装修,70年,2015年,普通住宅,其他,63                                万（月供6026元/月）,,,
银河小区 精装修 顶跃复式送露台送阁楼 配套成熟 ,http://hz.58.com/ershoufang/33346069814582x.shtml,478                                万（单价23900                                元/㎡）,4室2厅2卫,200㎡,南北,中层/共7层,中等装修,70年,2000年,普通住宅,商品房,143.4                                万（月供13719元/月）,,,
首付50万即可，带7万的清爽装修，金沙湖畔，毗邻 ,http://hz.58.com/ershoufang/33422707436345x.shtml,165                                万（单价26612                                元/㎡）,2室2厅1卫,62㎡,南,中层/共26层,中等装修,70年,2012年,普通住宅,商品房,49.5                                万（月供4734元/月）,,,
大江东萧山新湾商贸公寓中等装修86方，房东诚心出 ,http://hz.58.com/ershoufang/29527788694323x.shtml,63                                万（单价7325                                元/㎡）,2室1厅1卫,86㎡,东,共5层,中等装修,70年,2010年,普通住宅,商品房,18.9                                万（月供1809元/月）,,,
大江东义蓬美郡苑118方中等装修好房出售 ,http://hz.58.com/ershoufang/29514140454860x.shtml,145                                万（单价12288                                元/㎡）,3室1厅2卫,118㎡,南,高层/共12层,中等装修,70年,2013年,普通住宅,商品房,43.5                                万（月供4160元/月）,,,
精装3房，拎包住，可上育才三中 小区24小热水  ,http://hz.58.com/ershoufang/31692460248885x.shtml,85                                万（单价12318                                元/㎡）,3室2厅1卫,69㎡,南北,高层/共7层,中等装修,70年,1995年,普通住宅,商品房,25.5                                万（月供2438元/月）,,,
大润发附近江南苑6楼 ,http://hz.58.com/ershoufang/31029822447043x.shtml,135                                万（单价10975                                元/㎡）,3室2厅2卫,123㎡,,高层/共7层,中等装修,70年,,,商品房,40.5                                万（月供3875元/月）,,,
回澜南苑 标准3房！满五 学府可用 采光好 价可 ,http://hz.58.com/ershoufang/33310670577605x.shtml,250                                万（单价26595                                元/㎡）,3室2厅1卫,94㎡,南北,中层/共6层,中等装修,70年,1998年,普通住宅,商品房,75                                万（月供7174元/月）,,,
阳光城上林湖 银湖科技城中等装修联排 近地铁名校 ,http://hz.58.com/ershoufang/33420719667916x.shtml,520                                万（单价21224                                元/㎡）,4室3厅3卫,245㎡,南北,共3层,中等装修,70年,2013年,排屋,商品房,156                                万（月供14925元/月）,,,
房东出国，诚心出售， ,http://hz.58.com/ershoufang/33366218037556x.shtml,148                                万（单价16629                                元/㎡）,2室2厅1卫,89㎡,南,高层/共30层,中等装修,70年,2008年,普通住宅,商品房,44.4                                万（月供4246元/月）,,,
推荐(特价房)美都广场34方43万 户型 特价抛 ,http://hz.58.com/ershoufang/30092397583180x.shtml,43                                万（单价12647                                元/㎡）,1室1厅1卫,34㎡,北,高层/共18层,中等装修,40年,2007年,普通住宅,商住两用,12.9                                万（月供1235元/月）,,,
海宁金贸中心47方LOFT4.5米层高地铁口3房 ,http://hz.58.com/ershoufang/33262772918703x.shtml,45                                万（单价9000                                元/㎡）,1室1厅1卫,50㎡,南,中层/共17层,中等装修,50年,2016年,公寓,商品房,13.5                                万（月供1290元/月）,,,
擎天半岛 不靠铁路 南北通 采光好 房东诚 大三 ,http://hz.58.com/ershoufang/33276588419137x.shtml,220                                万（单价15827                                元/㎡）,3室2厅2卫,139㎡,南北,高层/共30层,中等装修,70年,2010年,普通住宅,其他,66                                万（月供6315元/月）,,,
